Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
社会的入院	Social stay hospitalisation
社会的恐怖	Social fear
神経内嚢胞	Intraneural cyst
神経因性腸	Neurogenic bowel
神経根損傷	Nerve root injury
神経突起斑	Neuritic plaques
神経筋毒性	Neuromuscular toxicity
神経管欠損	Neural tube defect
神経系嚢胞	Nervous system cyst
神経系感染	Neurological infection
神経系損傷	Nervous system injury
神経系障害	Nervous system disorder
神経膠嚢胞	Neuroglial cyst
神経膠瘢痕	Glial scar
移植合併症	Transplantation complication
移植片感染	Graft infection
移植片膿瘍	Transplant abscess
移植片虚血	Graft ischaemia
移植片離層	Graft delamination
移植腎感染	Renal graft infection
移植腎捻転	Renal transplant torsion
移植腎破裂	Kidney transplant rupture
移植骨溶解	Bone graft lysis
移植骨除去	Bone graft removal
移行上皮癌	Transitional cell carcinoma
種痘性湿疹	Eczema vaccinatum
穀粉過敏症	Flour sensitivity
空気塞栓症	Air embolism
空置大腸炎	Diversion colitis
空置直腸炎	Diversion proctitis
空腸瘻修正	Jejunostomy refashioning
空腸瘻閉鎖	Jejunostomy closure
穿孔性潰瘍	Perforated ulcer
突発性難聴	Sudden hearing loss
突進性歩行	Propulsive gait
窒素負平衡	Nitrogen balance negative
第１度熱傷	Burns first degree
第１期梅毒	Primary syphilis
第２度熱傷	Burns second degree
第２期梅毒	Secondary syphilis
第３度熱傷	Burns third degree
第３期梅毒	Tertiary syphilis
第４度熱傷	Burns fourth degree
筋さざ波病	Rippling muscle disease
筋ヘルニア	Muscle hernia
筋低酸素症	Muscle hypoxia
筋弛緩療法	Muscle relaxant therapy
筋機能療法	Myofunctional therapy
筋生検正常	Biopsy muscle normal
筋生検異常	Biopsy muscle abnormal
筋肉内出血	Muscle haemorrhage
筋肉内血腫	Haematoma muscle
筋肉再接合	Muscle reattachment
筋膜下血腫	Subfascial haematoma
筋酵素上昇	Muscle enzyme increased
筋酵素低下	Muscle enzyme decreased
筋酵素異常	Muscle enzyme abnormal
筋電図正常	Electromyogram normal
筋電図異常	Electromyogram abnormal
筋骨格変形	Musculoskeletal deformity
筋骨格硬直	Musculoskeletal stiffness
筋骨格系癌	Musculoskeletal cancer
筋骨格障害	Musculoskeletal disorder
篩骨洞手術	Ethmoid sinus surgery
粒子線治療	Particle therapy
粘液様嚢胞	Myxoid cyst
粘膜のあれ	Mucosal roughness
粘膜の炎症	Mucosal inflammation
粘膜びらん	Mucosal erosion
粘膜刺激感	Mucosal irritation
粘膜小水疱	Mucosa vesicle
粘膜擦過傷	Mucosal excoriation
粘膜炎治療	Mucositis management
粘膜過形成	Mucosal membrane hyperplasia
精子肉芽腫	Sperm granuloma
精子運動性	Spermatozoa progressive motility
精巣上体癌	Epididymal cancer
精巣不快感	Testis discomfort
精巣乳頭腫	Testicular papilloma
精巣垂捻転	Testicular appendage torsion
精巣微石症	Testicular microlithiasis
精巣新生物	Testicular neoplasm
精巣絨毛癌	Testicular choriocarcinoma
精液瘤吸引	Aspiration spermatocele
精液量増加	Semen volume increased
精液量正常	Semen volume normal
精液量減少	Semen volume decreased
精液量異常	Semen volume abnormal
精神病症状	Psychotic symptom
精管再切除	Vasectomy repeat
精管再開通	Vasectomy reversal
精索の炎症	Spermatic cord inflammation
糖尿病予防	Diabetes prophylaxis
糖尿病創傷	Diabetic wound
糖尿病管理	Diabetes mellitus management
紅斑性皮疹	Rash erythematous
紋理状眼底	Tessellated fundus
細網細胞数	Reticular cell count
細胞診正常	Cytology normal
細胞診異常	Cytology abnormal
細菌性下痢	Bacterial diarrhoea
細菌性筋炎	Bacterial myositis
細菌性肺炎	Pneumonia bacterial
細菌性胃炎	Gastritis bacterial
細菌性脳炎	Encephalitis bacterial
細菌性腎炎	Nephritis bacterial
細菌性腟症	Bacterial vaginosis
細菌性腸炎	Enterocolitis bacterial
細菌性膵炎	Pancreatitis bacterial
細菌性膿瘍	Abscess bacterial
細菌性鼻炎	Bacterial rhinitis
細菌重感染	Superinfection bacterial
終末尿滴下	Terminal dribbling
終末期不穏	Terminal agitation
終末期状態	Terminal state
組織拡張法	Tissue expansion procedure
組織球肉腫	Histiocytic sarcoma
経口避妊法	Oral contraception
経済的問題	Economic problem
経皮避妊法	Transdermal contraception
結合双生児	Conjoined twins
結節性発疹	Nodular rash
結節性眼炎	Ophthalmia nodosa
結節性紅斑	Erythema nodosum
結節性調律	Nodal rhythm
結腸全摘除	Colectomy total
結腸新生物	Colon neoplasm
結腸異形成	Colon dysplasia
結腸瘻修復	Colon fistula repair
結腸瘻感染	Colostomy infection
結腸瘻閉鎖	Colostomy closure
結腸直腸癌	Colorectal cancer
結膜の混濁	Conjunctival opacity
結膜びらん	Conjunctival erosion
結膜下注射	Subconjunctival injection procedure
結膜乳頭腫	Papilloma conjunctival
結膜擦過傷	Conjunctival abrasion
結膜新生物	Conjunctival neoplasm
結膜沈着物	Conjunctival deposit
結膜濾過胞	Conjunctival bleb
結膜菲薄化	Conjunctival thinning
結膜黒色腫	Conjunctival melanoma
絞扼性痔核	Strangulated haemorrhoids
網内系刺激	Reticuloendothelial system stimulated
網膜下血腫	Subretinal haematoma
網膜光毒性	Retinal phototoxicity
網膜図正常	Retinogram normal
網膜図異常	Retinogram abnormal
網膜新生物	Retinal neoplasm
網膜沈着物	Retinal deposits
網膜滲出斑	Retinal infiltrates
網膜滲出物	Retinal exudates
網膜線維症	Retinal fibrosis
網膜脂血症	Lipaemia retinalis
網膜血管炎	Retinal vasculitis
網膜血管瘤	Retinal aneurysm
網膜静脈瘤	Retinal vein varices
網膜黒色腫	Retinal melanoma
緊張性膀胱	Hypertonic bladder
緊張性頭痛	Tension headache
総蛋白増加	Protein total increased
総蛋白正常	Protein total normal
総蛋白減少	Protein total decreased
総蛋白異常	Protein total abnormal
緑内障手術	Glaucoma surgery
緩和的鎮静	Palliative sedation
縦隔新生物	Mediastinum neoplasm
縦隔滲出液	Mediastinal effusion
縦隔線維症	Mediastinal fibrosis
縫合糸膿瘍	Stitch abscess
縫合部離開	Suture rupture
羊膜腔感染	Amniotic cavity infection
羊膜腔障害	Amniotic cavity disorder
義手使用者	Hand prosthesis user
義歯使用者	Denture wearer
義眼使用者	Eye prosthesis user
義肢使用者	Limb prosthesis user
義足使用者	Foot prosthesis user
習慣性咳嗽	Habit cough
翼状片手術	Pterygium operation
翼状肩甲骨	Winged scapula
老人性紫斑	Purpura senile
老年認知症	Senile dementia
老齢の両親	Aged parent
耐糖能上昇	Glucose tolerance increased
耐糖能低下	Glucose tolerance decreased
耐糖能障害	Glucose tolerance impaired
耳そう痒症	Ear pruritus
耳下腺出血	Parotid gland haemorrhage
耳下腺腫大	Parotid gland enlargement
耳下腺膿瘍	Parotid abscess
耳嚢胞腺腫	Aural cystadenoma
耳小骨手術	Ossicular operation
耳小骨障害	Ossicle disorder
耳小骨骨折	Ear ossicle fracture
耳帯状疱疹	Herpes zoster oticus
耳管形成術	Eustachian tuboplasty
聴力図正常	Audiogram normal
聴力図異常	Audiogram abnormal
聴神経障害	Auditory nerve disorder
聴覚障害者	Hearing disability
職業性ざ瘡	Acne occupational
職業性喘息	Occupational asthma
職業性難聴	Deafness occupational
肋軟骨離開	Costochondral separation
肋軟骨骨折	Costal cartilage fracture
肋間神経痛	Intercostal neuralgia
肋間筋肉痛	Myalgia intercostal
肋骨の変形	Rib deformity
肘関節変形	Elbow deformity
肘骨癒合症	Elbow synostosis
肛門の炎症	Anal inflammation
肛門びらん	Anal erosion
肛門乳頭炎	Anal papillitis
肛門乳頭腫	Anal papilloma
肛門拡張術	Anal dilation procedure
肛門新生物	Anal neoplasm
肛門白板症	Anal leukoplakia
肛門皮膚垂	Anal skin tags
肛門錯感覚	Anal paraesthesia
肝スキャン	Liver scan
肝ヘルニア	Liver hernia
肝偽脂肪腫	Hepatic pseudolipoma
肝動脈出血	Hepatic artery haemorrhage
肝動脈狭窄	Hepatic artery stenosis
肝動脈閉塞	Hepatic artery occlusion
肝周囲膿瘍	Perihepatic abscess
肝嚢胞感染	Hepatic cyst infection
肝嚢胞破裂	Hepatic cyst ruptured
肝性糖尿病	Hepatogenous diabetes
肝放線菌症	Hepatic actinomycosis
肝機能検査	Liver function test
肝機能異常	Hepatic function abnormal
肝潅流障害	Hepatic perfusion disorder
肝生検正常	Biopsy liver normal
肝生検異常	Biopsy liver abnormal
肝硬度増加	Increased liver stiffness
肝移植不全	Liver transplant failure
肝細胞融解	Hepatic cytolysis
肝肺症候群	Hepatopulmonary syndrome
肝胆道系癌	Hepatobiliary cancer
肝臓紫斑病	Peliosis hepatis
肝血管肉腫	Hepatic angiosarcoma
肝血管造影	Hepatic angiogram
肝血管障害	Hepatic vascular disorder
肝酵素上昇	Hepatic enzyme increased
肝酵素低下	Hepatic enzyme decreased
肝酵素異常	Hepatic enzyme abnormal
肝静脈拡張	Hepatic vein dilatation
肝静脈狭窄	Hepatic vein stenosis
肝静脈閉塞	Hepatic vein occlusion
股関節変形	Hip deformity
股関節形成	Hip arthroplasty
股関節手術	Hip surgery
肥厚性瘢痕	Hypertrophic scar
肥厚性鼻炎	Rhinitis hypertrophic
肥満心筋症	Obesity cardiomyopathy
肩甲帯離断	Interscapulothoracic amputation
肩甲骨骨折	Scapula fracture
肩関節形成	Shoulder arthroplasty
肩関節手術	Shoulder operation
肺ブラ切除	Pulmonary bullectomy
肺ブラ破裂	Pulmonary bullae rupture
肺ヘルニア	Lung hernia
肺中隔肥厚	Pulmonary septal thickening
肺動脈圧迫	Pulmonary artery compression
肺動脈拡張	Pulmonary artery dilatation
肺動脈狭窄	Pulmonary artery stenosis
肺動脈解離	Pulmonary artery dissection
肺動脈閉塞	Pulmonary artery occlusion
肺動脈閉鎖	Pulmonary artery atresia
肺動静脈瘻	Pulmonary arteriovenous fistula
肺嚢胞切除	Lung cyst removal
肺微小塞栓	Pulmonary microemboli
肺拡散障害	Lung diffusion disorder
肺機能検査	Pulmonary function test
肺活量正常	Vital capacity normal
肺活量減少	Vital capacity decreased
肺活量異常	Vital capacity abnormal
肺生検正常	Biopsy lung normal
肺生検異常	Biopsy lung abnormal
肺画像検査	Pulmonary imaging procedure
肺空洞形成	Pulmonary cavitation
肺胞内嚢胞	Pulmonary bulla
肺胞微石症	Pulmonary alveolar microlithiasis
肺胞蛋白症	Alveolar proteinosis
肺腎症候群	Pulmonary renal syndrome
肺膨張不全	Lung hypoinflation
肺血管形成	Pulmonary angioplasty
肺血管抵抗	Vascular resistance pulmonary
肺血管造影	Angiogram pulmonary
肺血管障害	Pulmonary vascular disorder
肺静脈狭窄	Pulmonary vein stenosis
肺静脈閉塞	Pulmonary vein occlusion
肺高血圧症	Pulmonary hypertension
胃アトニー	Gastric atony
胃イレウス	Gastric ileus
胃スキャン	Stomach scan
胃バイパス	Gastric bypass
胃ポリープ	Gastric polyps
胃壁内気腫	Gastric pneumatosis
胃平滑筋腫	Gastric leiomyoma
胃排出不全	Impaired gastric emptying
胃排出検査	Gastric emptying study
胃洗浄検査	Gastric lavage test
胃生検正常	Biopsy stomach normal
胃生検異常	Biopsy stomach abnormal
胃瘻管除去	Gastrostomy tube removal
胃粘膜病変	Gastric mucosal lesion
胃粘膜紅斑	Gastric mucosa erythema
胃粘膜肥厚	Gastric mucosal hypertrophy
胃緊張亢進	Gastric hypertonia
胃腸の炎症	Gastrointestinal inflammation
胃腸異形成	Gastrointestinal dysplasia
胃腸管挿入	Gastrointestinal tube insertion
胃腸管狭窄	Gastrointestinal stenosis
胃腸管腺腫	Gastrointestinal tract adenoma
胃腸管閉塞	Gastrointestinal obstruction
胃腸管除去	Gastrointestinal tube removal
胃腸音異常	Gastrointestinal sounds abnormal
胃運動低下	Gastric hypomotility
胃運動過剰	Gastric hypermotility
胃電気刺激	Gastric electrical stimulation
胃食道出血	Gastrooesophageal haemorrhage
胆嚢乳頭腫	Gallbladder papilloma
胆嚢新生物	Gallbladder neoplasm
胆嚢無形成	Gallbladder agenesis
胆嚢瘻修復	Gallbladder fistula repair
胆嚢線維症	Gallbladder fibrosis
胆嚢軸捻転	Gallbladder volvulus
胆嚢静脈瘤	Gallbladder varices
胆汁性腹水	Biliary ascites
胆汁酸分画	Fractionated bile acids
胆汁酸増加	Bile acids increased
胆汁酸減少	Bile acids decreased
胆汁酸異常	Bile acids abnormal
胆汁量増加	Bile output increased
胆汁量減少	Bile output decreased
胆汁量異常	Bile output abnormal
胆管瘻修復	Biliary fistula repair
胆管線維症	Biliary fibrosis
胆管過誤腫	Biliary hamartoma
胆道新生物	Biliary neoplasm
胎児不整脈	Foetal arrhythmia
胎児心停止	Foetal cardiac arrest
胎児心拍数	Foetal heart rate
胎児心疾患	Foetal cardiac disorder
胎児性難産	Foetal dystocia
胎児男性化	Virilism foetal
胎児脳出血	Cerebral haemorrhage foetal
胎児脳梗塞	Cerebral infarction foetal
胎児腎障害	Foetal renal impairment
胎盤後血腫	Retroplacental haematoma
胎盤新生物	Placental neoplasm
胎盤異形成	Placental dysplasia
胎盤石灰化	Placental calcification
胞状卵胞数	Antral follicle count
胸膜テント	Pleural tenting
胸膜中皮腫	Pleural mesothelioma
胸膜剥皮術	Pleural decortication
胸膜新生物	Pleural neoplasm
胸膜皮膚瘻	Pleurocutaneous fistula
胸膜石灰化	Pleural calcification
胸膜線維症	Pleural fibrosis
胸膜肺芽腫	Pleuropulmonary blastoma
胸膜脂肪腫	Pleural lipoma
胸部不快感	Chest discomfort
胸郭低形成	Thoracic hypoplasia
胸骨安定化	Sternal stabilisation
脂肪不耐性	Fat intolerance
脂肪再分布	Fat redistribution
脂肪分解術	Lipolysis procedure
脂肪性肝炎	Hepatic steatosis
脂肪腫切除	Lipoma excision
脂肪類皮腫	Lipodermoid tumour
脂腺過形成	Sebaceous hyperplasia
脂質蛋白症	Lipid proteinosis
脈波形正常	Pulse waveform normal
脈波形異常	Pulse waveform abnormal
脈絡膜出血	Choroidal haemorrhage
脈絡膜剥離	Choroidal detachment
脈絡膜梗塞	Choroidal infarction
脈絡膜欠損	Choroidal coloboma
脈絡膜滲出	Choroidal effusion
脈絡膜生検	Biopsy choroid
脈絡膜破裂	Choroidal rupture
脈絡膜血腫	Choroidal haematoma
脈絡膜骨腫	Choroidal osteoma
脊柱平坦化	Spinal flattening
脊椎不安定	Spinal instability
脊椎安定化	Spinal stabilisation
脊髄新生物	Spinal cord neoplasm
脊髄脂肪腫	Spinal cord lipoma
脚ブロック	Bundle branch block
脳スキャン	Scan brain
脳ヘルニア	Brain herniation
脳マラリア	Cerebral malaria
脳低酸素症	Brain hypoxia
脳卒中予防	Cerebrovascular accident prophylaxis
脳嚢胞出血	Cerebral cyst haemorrhage
脳嚢胞切除	Cerebral cyst excision
脳圧排効果	Cerebral mass effect
脳室内出血	Intraventricular haemorrhage
脳室狭小化	Cerebral ventricle collapse
脳幹塞栓症	Brain stem embolism
脳幹症候群	Brain stem syndrome
脳幹血栓症	Brain stem thrombosis
脳幹部虚血	Brain stem ischaemia
脳底動脈瘤	Basilar artery aneurysm
脳律動異常	Cerebral dysrhythmia
脳循環不全	Cerebral circulatory failure
脳微小出血	Cerebral microhaemorrhage
脳浮腫治療	Cerebral oedema management
脳生検正常	Biopsy brain normal
脳生検異常	Biopsy brain abnormal
脳真菌感染	Cerebral fungal infection
脳神経感染	Cranial nerve infection
脳神経手術	Cranial nerve operation
脳神経損傷	Cranial nerve injury
脳神経障害	Cranial nerve disorder
脳神経麻痺	Paresis cranial nerve
脳脊髄液漏	Cerebrospinal fluid leakage
脳脊髄照射	Craniospinal irradiation
脳腫瘍手術	Brain tumour operation
脳葉酸欠乏	Cerebral folate deficiency
脳血管不全	Cerebrovascular insufficiency
脳血管収縮	Cerebral vasoconstriction
脳血管形成	Cerebral angioplasty
脳血管手術	Cerebrovascular operation
脳血管拡張	Cerebral vasodilatation
脳血管狭窄	Cerebrovascular stenosis
脳血管造影	Angiogram cerebral
脳血管閉塞	Cerebral vascular occlusion
脳血管障害	Cerebrovascular disorder
脳血行再建	Cerebral revascularisation
脾動脈狭窄	Splenic artery stenosis
脾動脈穿孔	Splenic artery perforation
脾生検正常	Biopsy spleen normal
脾生検異常	Biopsy spleen abnormal
脾臓うっ血	Spleen congestion
脾臓低潅流	Spleen hypoperfusion
脾臓動脈瘤	Splenic artery aneurysm
脾臓塞栓症	Splenic embolism
脾臓石灰化	Splenic calcification
脾臓血栓症	Splenic thrombosis
脾静脈閉塞	Splenic vein occlusion
腎スキャン	Renal scan
腎乳頭壊死	Renal papillary necrosis
腎代替療法	Renal replacement therapy
腎位置異常	Renal malposition
腎保護療法	Nephroprotective therapy
腎動脈形成	Renal artery angioplasty
腎動脈撮影	Arteriogram renal
腎動脈穿孔	Renal artery perforation
腎動脈解離	Renal artery dissection
腎動脈閉塞	Renal artery occlusion
腎周囲浮腫	Perinephric oedema
腎周囲膿瘍	Perinephric abscess
腎嚢胞出血	Renal cyst haemorrhage
腎嚢胞切除	Renal cyst excision
腎嚢胞吸引	Renal cyst aspiration
腎嚢胞感染	Renal cyst infection
腎嚢胞破裂	Renal cyst ruptured
腎回転異常	Kidney malrotation
腎形成不全	Renal dysplasia
腎性くる病	Renal rickets
腎性尿崩症	Nephrogenic diabetes insipidus
腎性高血圧	Renal hypertension
腎機能検査	Renal function test
腎機能障害	Renal impairment
腎炎症候群	Nephritic syndrome
腎生検正常	Biopsy kidney normal
腎生検異常	Biopsy kidney abnormal
腎瘻管除去	Nephrostomy tube removal
腎発育不全	Renal hypoplasia
腎皮質壊死	Renal cortical necrosis
腎移植不全	Renal transplant failure
腎結石除去	Renal stone removal
腎脂肪腫症	Renal lipomatosis
腎腫瘍摘除	Renal tumour excision
腎血管障害	Renal vessel disorder
腎障害予防	Renal disorder prophylaxis
腎静脈圧迫	Renal vein compression
腎静脈狭窄	Renal vein stenosis
腎静脈造影	Venogram renal
腎静脈閉塞	Renal vein occlusion
腐食性胃炎	Corrosive gastritis
腓骨過成長	Fibular overgrowth
腟の白斑症	Vaginal leukoplakia
腟ポリープ	Vaginal polyp
腟入口拡張	Introital stretch
腟嚢胞切除	Vaginal cyst excision
腟平滑筋腫	Vaginal leiomyoma
腟形成不全	Vaginal hypoplasia
腟断端離開	Vaginal cuff dehiscence
腟生検正常	Biopsy vagina normal
腟生検異常	Biopsy vagina abnormal
腫瘍フレア	Tumour flare
腫瘍内血腫	Intratumoural haematoma
腫瘍合併症	Oncologic complication
腫瘍性圧迫	Tumour compression
腫瘍性閉塞	Tumour obstruction
腫瘍自潰創	Fungating wound
腫脹関節数	Swollen joint count
腰ヘルニア	Lumbar hernia
腱生検正常	Biopsy tendon normal
腱生検異常	Biopsy tendon abnormal
腱鞘滲出液	Tendon sheath effusion
腸アトニー	Intestinal atony
腸チフス熱	Typhoid fever
腸上皮化生	Intestinal metaplasia
腸係蹄固定	Fixed bowel loop
腸回転異常	Intestinal malrotation
腸壁気腫症	Pneumatosis intestinalis
腸球菌感染	Enterococcal infection
腸生検正常	Biopsy intestine normal
腸生検異常	Biopsy intestine abnormal
腸神経障害	Enteric neuropathy
腸管うっ血	Intestinal congestion
腸管拡張症	Intestinal dilatation
腸管瘻修復	Intestinal fistula repair
腸管瘻感染	Intestinal fistula infection
腸管皮膚瘻	Enterocutaneous fistula
腸管線維症	Intestinal fibrosis
腸管脂肪症	Intestinal steatosis
腸絨毛萎縮	Intestinal villi atrophy
腸脂肪腫症	Intestinal lipomatosis
腸血管障害	Intestinal vascular disorder
腸通過時間	Intestinal transit time
腸閉塞手術	Bowel obstruction surgery
腸間膜出血	Mesenteric haemorrhage
腸間膜嚢胞	Mesenteric cyst
腸間膜生検	Mesenteric biopsy
腸間膜肥厚	Mesenteric thickening
腸間膜膿瘍	Mesenteric abscess
腸間膜血腫	Mesenteric haematoma
腹圧性排尿	Urinary straining
腹壁反跳痛	Abdominal rebound tenderness
腹壁新生物	Abdominal wall neoplasm
腹性片頭痛	Abdominal migraine
腹直筋離開	Diastasis recti abdominis
腹腔動脈瘤	Coeliac artery aneurysm
腹腔液検査	Peritoneal fluid analysis
腹膜垂切除	Epiploic appendage removal
腹膜皮膚瘻	Peritoneocutaneous fistula
腹膜線維症	Peritoneal fibrosis
腹部ブルイ	Abdominal bruit
腹部不快感	Abdominal discomfort
腹部創離開	Abdominal wound dehiscence
腹部敗血症	Abdominal sepsis
腹部新生物	Abdominal neoplasm
腺性膀胱炎	Cystitis glandularis
腺様嚢胞癌	Adenoid cystic carcinoma
膀胱不快感	Bladder discomfort
膀胱壁肥厚	Bladder hypertrophy
膀胱尿道瘻	Vesicourethral fistula
膀胱憩室炎	Bladder diverticulitis
膀胱新生物	Bladder neoplasm
膀胱無形成	Bladder agenesis
膀胱異形成	Bladder dysplasia
膀胱瘤修復	Cystocele repair
膀胱瘻修復	Bladder fistula repair
膀胱瘻閉鎖	Cystostomy closure
膀胱白板症	Bladder leukoplakia
膀胱皮膚瘻	Vesicocutaneous fistula
膀胱線維症	Bladder fibrosis
膀胱肉芽腫	Bladder granuloma
膀胱静脈瘤	Urinary bladder varices
膝神経節炎	Geniculate ganglionitis
膝蓋骨置換	Patella replacement
膝蓋骨骨折	Patella fracture
膝関節変形	Knee deformity
膝関節形成	Knee arthroplasty
膠原性胃炎	Collagenous gastritis
膨大型腎盂	Ampullary renal pelvis
膵仮性嚢胞	Pancreatic pseudocyst
膵嚢胞破裂	Pancreatic cyst rupture
膵嚢胞腺癌	Cystadenocarcinoma pancreas
膵嚢胞腺腫	Pancreatic cystadenoma
膵島過形成	Pancreatic islets hyperplasia
膵性糖尿病	Pancreatogenous diabetes
膵生検正常	Biopsy pancreas normal
膵生検異常	Biopsy pancreas abnormal
膵脂肪変性	Pancreatic steatosis
膵腎症候群	Pancreatorenal syndrome
膵酵素増加	Pancreatic enzymes increased
膵酵素減少	Pancreatic enzymes decreased
膵酵素異常	Pancreatic enzyme abnormality
膿疱性ざ瘡	Acne pustular
膿疱性乾癬	Pustular psoriasis
膿疱性皮疹	Rash pustular
臍周囲膿瘍	Periumbilical abscess
臍帯敗血症	Umbilical sepsis
臍帯血栓症	Umbilical cord thrombosis
臓器提供者	Organ donor
自尊心低下	Self esteem decreased
自尊心肥大	Self esteem inflated
自殺の疑い	Suspected suicide
自然脾破裂	Spontaneous splenic rupture
興味の減少	Decreased interest
舌そう痒症	Tongue pruritus
舌ポリープ	Tongue polyp
舌下静脈瘤	Varicose veins sublingual
舌咽神経痛	Glossopharyngeal neuralgia
舌水疱形成	Tongue blistering
舌生検正常	Biopsy tongue normal
舌生検異常	Biopsy tongue abnormal
舌粘膜剥脱	Tongue exfoliation
舌色素沈着	Tongue pigmentation
良性中皮腫	Benign mesothelioma
良性奇形腫	Teratoma benign
良性新生物	Benign neoplasm
良性胸腺腫	Thymoma benign
良性脾腫瘍	Benign spleen tumour
良性髄膜腫	Meningioma benign
色素性痒疹	Prurigo pigmentosa
萎縮性舌炎	Atrophic glossitis
萎縮性鼻炎	Rhinitis atrophic
落屑緑内障	Exfoliation glaucoma
薬剤植込み	Drug implantation
薬物の解毒	Drug detoxification
薬物不耐性	Drug intolerance
薬物過敏症	Drug hypersensitivity
蘇生後脳症	Postresuscitation encephalopathy
虚偽性障害	Factitious disorder
虚血性壊死	Necrosis ischaemic
虚血性肝炎	Ischaemic hepatitis
虚血性胃炎	Ischaemic gastritis
虚血性脱髄	Ischaemic demyelination
虚血性腎症	Ischaemic nephropathy
虚血性膵炎	Ischaemic pancreatitis
虹彩新生物	Iris neoplasm
虹彩過誤腫	Iris hamartoma
虹彩黒色腫	Iris melanoma
蛋白不耐症	Protein intolerance
蛋白同化食	Anabolic diet
蛋白欠乏症	Protein deficiency
蝶形骨離開	Sphenoid bone dehiscence
蝸電図正常	Electrocochleogram normal
蝸電図異常	Electrocochleogram abnormal
蠕虫性肺炎	Pneumonia helminthic
蠕虫性胃炎	Gastritis helminthic
蠕虫性腸炎	Enterocolitis helminthic
蠕虫性膵炎	Pancreatitis helminthic
血中クロム	Blood chromium
血中金増加	Blood gold increased
血中鉄増加	Blood iron increased
血中鉄正常	Blood iron normal
血中鉄減少	Blood iron decreased
血中鉄異常	Blood iron abnormal
血中鉛増加	Blood lead increased
血中鉛正常	Blood lead normal
血中鉛減少	Blood lead decreased
血中鉛異常	Blood lead abnormal
血中銅増加	Blood copper increased
血中銅正常	Blood copper normal
血中銅減少	Blood copper decreased
血中銅異常	Blood copper abnormal
血中電解質	Blood electrolytes
血小板形態	Platelet morphology
血小板毒性	Platelet toxicity
血小板輸血	Platelet transfusion
血小板障害	Platelet disorder
血性分泌物	Bloody discharge
血栓性痔核	Haemorrhoids thrombosed
血栓症予防	Thrombosis prophylaxis
血液型検査	Blood grouping
血液浸透圧	Blood osmolarity
血液量増加	Blood volume expansion
血管内溶血	Intravascular haemolysis
血管内砕石	Intravascular lithotripsy
血管壁変色	Vascular wall discolouration
血管壁肥厚	Vascular wall hypertrophy
血管外溶血	Extravascular haemolysis
血管性脳症	Vascular encephalopathy
血管性頭痛	Vascular headache
血管拡張術	Vasodilation procedure
血管新生物	Vascular neoplasm
血管瘤修復	Aneurysm repair
血管石灰化	Vascular calcification
血管脆弱化	Vascular fragility
血管腫切除	Haemangioma removal
血管腫破裂	Haemangioma rupture
血管過誤腫	Hamartoma vascular
血行再建術	Revascularisation procedure
術後うつ病	Depression postoperative
術後創感染	Postoperative wound infection
術後精神病	Psychosis postoperative
術後腎不全	Postoperative renal failure
術後血栓症	Postoperative thrombosis
術後鎮痛法	Postoperative analgesia
術後高血圧	Postoperative hypertension
表皮下出血	Haemorrhage subepidermal
表皮水疱症	Epidermolysis bullosa
袖状胃切除	Sleeve gastrectomy
装具使用者	Orthosis user
補体欠損症	Complement deficiency disease
製品の偽造	Product counterfeit
製品の変造	Product tampering
製品の後味	Product after taste
製品の汚染	Product contamination
製品の混同	Product confusion
製品の異味	Product taste abnormal
製品の異臭	Product odour abnormal
製品の発火	Product caught fire
製品の苦情	Product complaint
製品リーク	Product leakage
製品不耐性	Product intolerance
製造の問題	Manufacturing issue
複合弁移植	Composite valve graft
褥瘡性潰瘍	Decubitus ulcer
視神経圧迫	Optic nerve compression
視神経手術	Optic nerve operation
視神経損傷	Optic nerve injury
視神経梗塞	Optic nerve infarction
視神経膠腫	Optic glioma
視神経萎縮	Optic atrophy
視神経障害	Optic nerve disorder
視空間障害	Visuospatial deficit
視覚性失認	Visual agnosia
視覚路損傷	Optic pathway injury
視覚路障害	Visual pathway disorder
視覚障害者	Sight disability
覚醒時幻覚	Hypnopompic hallucination
角膜びらん	Corneal erosion
角膜内皮炎	Corneal endotheliitis
角膜厚測定	Corneal pachymetry
角膜実質炎	Keratitis interstitial
角膜径増加	Corneal diameter increased
角膜径減少	Corneal diameter decreased
角膜擦過傷	Corneal abrasion
角膜沈着物	Corneal deposits
角膜白斑症	Corneal leukoplakia
角膜菲薄化	Corneal thinning
解離性健忘	Dissociative amnesia
解離性障害	Dissociative disorder
言語的虐待	Verbal abuse
記念日反応	Anniversary reaction
診断的吸引	Diagnostic aspiration
試験不合格	Failed examinations
試験的手術	Exploratory operation
誤った剤形	Wrong dosage form
誤った含量	Wrong strength
誤った患者	Wrong patient
誤った用量	Wrong dose
誤った経路	Wrong route
誤った薬剤	Wrong drug
誤った製剤	Wrong dosage formulation
誤った計画	Wrong schedule
誤った速度	Wrong rate
誤嚥性肺炎	Pneumonia aspiration
譫妄評価法	Confusion assessment method
豚コレラ菌	Salmonella enterica
貧血網膜症	Anaemic retinopathy
貨幣状湿疹	Eczema nummular
賠償神経症	Compensation neurosis
赤外線療法	Infrared therapy
赤痢菌感染	Gastroenteritis shigella
赤芽球形態	Erythroblast morphology
起立不耐性	Orthostatic intolerance
起立性頭痛	Orthostatic headache
